city,date,fare,ride_id
North Madeline,2019-04-05 18:23,29.69,2343912425577
New Kimberlyborough,2019-05-01 13:56,22.59,2343912425577
South Jack,2019-04-24 19:33,38.04,2343912425577
Erikaland,2019-03-11 2:19,27.39,2343912425577
New Paulville,2019-03-27 2:18,7.29,2343912425577
Hurleymouth,2019-03-26 20:22,41.15,2343912425577
Liumouth,2019-04-12 3:38,43.34,2343912425577
Deanville,2019-05-01 21:53,8.28,2343912425577
Karenside,2019-04-02 19:22,41.93,2343912425577
West Angela,2019-01-30 18:08,19.13,2343912425577
Liumouth,2019-02-01 20:17,24.81,2343912425577
Jerryton,2019-03-27 12:48,13.29,2343912425577
South Phillip,2019-05-04 9:10,28.3,2343912425577
Port Johnbury,2019-04-27 16:22,25.67,2343912425577
Raymondhaven,2019-02-08 23:57,5.7,2343912425577
Port David,2019-03-07 18:37,42.04,2343912425577
Robertport,2019-03-06 9:51,6.73,2343912425577
Loganberg,2019-03-16 11:46,23.99,2343912425577
Karenside,2019-04-19 10:17,36.01,2343912425577
Lake Jonathanshire,2019-03-09 23:45,19.89,2343912425577
Pattyland,2019-01-30 12:35,8.57,2343912425577
West Robert,2019-04-13 6:56,32.94,2343912425577
Justinberg,2019-04-12 5:27,17.03,2343912425577
West Josephberg,2019-02-09 14:07,4.42,2343912425577
North Markport,2019-01-21 11:49,27.68,2343912425577
Williamsview,2019-01-09 15:24,44.46,2343912425577
Raymondhaven,2019-02-01 5:51,13.86,2343912425577
South Latoya,2019-02-12 16:32,30.22,2343912425577
Deanville,2019-03-29 4:07,5.32,2343912425577
Amandaburgh,2019-03-05 2:15,26.28,2343912425577
Jerryton,2019-01-27 14:46,29.08,2343912425577
Deanville,2019-03-24 0:26,30.55,2343912425577
West Anthony,2019-01-23 12:32,23.24,2343912425577
West Anthony,2019-02-24 6:14,39.2,2343912425577
West Heidi,2019-03-30 10:46,22.41,2343912425577
Royland,2019-01-01 3:46,7.57,2343912425577
South Latoya,2019-03-02 6:06,10.35,2343912425577
Johnton,2019-01-08 17:33,43.75,2343912425577
West Angela,2019-01-30 18:46,32.31,2343912425577
Rodneyfort,2019-01-08 0:29,29.4,2343912425577
Royland,2019-01-02 20:08,10.19,2343912425577
New Paulville,2019-01-31 5:32,20.8,2343912425577
Huntermouth,2019-04-09 20:23,35.11,2343912425577
New Paulville,2019-01-30 15:21,7.02,2343912425577
Justinberg,2019-05-03 2:49,36.06,2343912425577
Port Angela,2019-03-31 15:22,30.77,2343912425577
Port Angela,2019-04-09 14:34,11.9,2343912425577
Christopherfurt,2019-01-05 22:21,33.51,2343912425577
South Michelleport,2019-04-22 3:15,43.62,2343912425577
Williamsstad,2019-02-13 20:07,33.72,2343912425577
Lake Jonathanshire,2019-04-07 18:09,24.28,2343912425577
Robertport,2019-03-20 19:11,20.21,2343912425577
Port Angela,2019-02-08 16:30,30.38,2343912425577
Barajasview,2019-02-08 18:07,24.49,2343912425577
South Evanton,2019-01-24 7:08,17.83,2343912425577
Lake Danielberg,2019-02-13 11:01,43.96,2343912425577
Royland,2019-04-19 0:05,25.4,2343912425577
Rodneyfort,2019-02-08 7:35,30.02,2343912425577
East Kaylahaven,2019-01-17 10:15,40.82,2343912425577
West Christopherberg,2019-01-17 14:30,9.04,2343912425577
New Jacobville,2019-01-15 15:27,27.24,2343912425577
Lake Jonathanshire,2019-01-02 14:14,13.89,2343912425577
Port Samanthamouth,2019-04-25 9:50,25.5,2343912425577
West Heidi,2019-03-26 9:45,22.33,2343912425577
Karenside,2019-04-14 5:11,13.13,2343912425577
Valentineton,2019-02-01 14:11,9.68,2343912425577
Raymondhaven,2019-02-23 11:13,4.24,2343912425577
Carriemouth,2019-03-11 21:35,16.78,2343912425577
West Josephberg,2019-01-16 16:17,7.04,2343912425577
Port Samanthamouth,2019-03-01 8:58,43.25,2343912425577
Karenberg,2019-03-30 11:38,24.64,2343912425577
New Paulton,2019-03-10 1:07,28,2343912425577
Joneschester,2019-02-07 18:36,6.34,2343912425577
North Jasmine,2019-02-08 19:03,4.86,2343912425577
Valentineton,2019-02-27 0:40,25.4,2343912425577
New Paulton,2019-02-20 16:59,24.29,2343912425577
South Evanton,2019-04-28 8:15,22.86,2343912425577
North Jasmine,2019-01-22 17:25,31.68,2343912425577
West Anthony,2019-03-17 0:30,35.42,2343912425577
Jerryton,2019-04-29 2:49,41.27,2343912425577
Grahamburgh,2019-01-09 7:00,13.55,2343912425577
South Jack,2019-03-30 20:21,4.2,2343912425577
West Christopherberg,2019-01-23 21:23,30.93,2343912425577
Lake Scottton,2019-03-26 0:49,9.79,2343912425577
West Patrickchester,2019-01-14 1:15,24.82,2343912425577
Royland,2019-01-17 14:08,27.92,2343912425577
South Karenland,2019-02-14 14:00,39.53,2343912425577
Erikaland,2019-03-27 13:11,36.52,2343912425577
Rodneyfort,2019-03-20 10:40,42.57,2343912425577
Williamsstad,2019-05-01 1:26,26.81,2343912425577
Richardfort,2019-02-13 12:46,14,2343912425577
West Ericstad,2019-01-25 12:29,20.03,2343912425577
Grahamburgh,2019-03-05 5:39,4.33,2343912425577
North Barbara,2019-05-04 2:33,24.09,2343912425577
West Robert,2019-01-04 6:10,35.35,2343912425577
Justinberg,2019-03-14 10:46,36.32,2343912425577
South Michelleport,2019-03-03 16:13,41.62,2343912425577
North Jasmine,2019-02-22 1:56,25.33,2343912425577
Barajasview,2019-03-01 11:06,28.25,2343912425577
Carriemouth,2019-04-04 13:22,12.91,2343912425577
Amandaburgh,2019-02-24 23:10,43.66,2343912425577
Johnton,2019-03-27 0:10,18.89,2343912425577
Port Angela,2019-03-04 3:26,40.35,2343912425577
Rodneyfort,2019-05-06 22:21,27.16,2343912425577
Amandaburgh,2019-02-10 20:42,36.17,2343912425577
North Madeline,2019-02-25 4:32,13.58,2343912425577
West Angela,2019-03-01 11:13,30.3,2343912425577
Joneschester,2019-01-03 5:45,25.47,2343912425577
Joneschester,2019-01-03 1:03,17.97,2343912425577
South Phillip,2019-01-29 11:26,35.23,2343912425577
Liumouth,2019-03-30 3:13,4.66,2343912425577
West Anthony,2019-01-10 2:31,32.34,2343912425577
North Jason,2019-02-26 11:57,13.88,2343912425577
North Jason,2019-03-21 9:45,10.42,2343912425577
Carriemouth,2019-04-28 14:28,11.46,2343912425577
Huntermouth,2019-05-04 15:20,36.77,2343912425577
South Phillip,2019-04-18 6:03,39.95,2343912425577
South Jack,2019-02-01 22:32,28.37,2343912425577
Port Johnbury,2019-05-05 6:26,25.3,2343912425577
South Phillip,2019-05-06 5:05,43.43,2343912425577
North Jasmine,2019-04-10 11:45,38.24,2343912425577
South Michelleport,2019-01-27 19:38,15.45,2343912425577
North Madeline,2019-04-07 8:54,32.99,2343912425577
Christopherfurt,2019-02-24 2:56,40.33,2343912425577
Williamsstad,2019-02-23 17:42,4.68,2343912425577
Martinezhaven,2019-04-18 1:40,34.7,2343912425577
Simpsonburgh,2019-04-03 8:47,4.74,2343912425577
New Jacobville,2019-02-04 4:57,27.63,2343912425577
South Karenland,2019-02-12 3:42,5.78,2343912425577
Royland,2019-01-27 1:01,24.56,2343912425577
Karenside,2019-01-22 13:11,24.72,2343912425577
West Robert,2019-05-05 5:18,10.15,2343912425577
Port Samanthamouth,2019-04-27 8:48,12.84,2343912425577
West Samuelburgh,2019-03-07 1:51,14.55,2343912425577
New Kimberlyborough,2019-03-29 20:35,42.51,2343912425577
Port David,2019-03-27 11:56,15.64,2343912425577
Karenside,2019-03-18 12:48,36.96,2343912425577
New Paulton,2019-02-08 17:11,39.65,2343912425577
West Ericstad,2019-01-08 9:03,32.99,2343912425577
Port Johnbury,2019-03-21 2:20,32.8,2343912425577
Port Samanthamouth,2019-03-27 0:31,16.05,2343912425577
Port Frank,2019-01-08 23:51,42.13,2343912425577
Lake Jonathanshire,2019-04-06 11:30,16.84,2343912425577
West Angela,2019-02-05 18:53,36.37,2343912425577
Port Samanthamouth,2019-03-27 1:08,21.46,2343912425577
North Madeline,2019-03-04 17:20,21.38,2343912425577
Williamsview,2019-01-15 0:10,44.33,2343912425577
Grahamburgh,2019-02-21 6:55,22.65,2343912425577
South Evanton,2019-03-06 3:56,30.87,2343912425577
Loganberg,2019-03-27 13:32,4.72,2343912425577
Carriemouth,2019-02-21 16:38,44.18,2343912425577
Port David,2019-01-02 11:51,7.45,2343912425577
West Heidi,2019-01-30 12:59,30.84,2343912425577
Williamsstad,2019-03-05 2:33,25.02,2343912425577
North Barbara,2019-02-04 8:12,42.59,2343912425577
Lake Danielberg,2019-03-17 19:23,10.18,2343912425577
North Markport,2019-04-13 7:37,20.09,2343912425577
Port Angela,2019-05-02 4:14,35.76,2343912425577
Port Samanthamouth,2019-03-15 15:08,25.97,2343912425577
West Angela,2019-05-03 9:04,24.07,2343912425577
Leahton,2019-02-21 20:37,24.13,2343912425577
North Markport,2019-04-28 4:34,40.46,2343912425577
Karenside,2019-03-09 3:50,40.86,2343912425577
Jerryton,2019-01-07 12:05,7.86,2343912425577
South Michelleport,2019-04-14 1:20,37.93,2343912425577
Valentineton,2019-03-25 20:45,22.53,2343912425577
East Kaylahaven,2019-04-09 16:57,10.03,2343912425577
Erikaland,2019-04-13 12:26,25.22,2343912425577
West Christopherberg,2019-01-08 8:25,37.78,2343912425577
Pattyland,2019-02-01 22:43,32.03,2343912425577
Deanville,2019-02-08 23:33,21.22,2343912425577
West Christopherberg,2019-03-21 0:14,43.87,2343912425577
Justinberg,2019-03-23 6:28,30.58,2343912425577
Lake Danielberg,2019-02-24 19:34,34.82,2343912425577
Port Samanthamouth,2019-01-30 1:19,38.78,2343912425577
Lake Danielberg,2019-02-28 15:08,44.96,2343912425577
Deanville,2019-04-15 1:36,24.3,2343912425577
Pattyland,2019-02-15 15:13,44.03,2343912425577
Karenside,2019-01-27 8:52,7.65,2343912425577
Port Angela,2019-04-22 16:43,7.91,2343912425577
West Angela,2019-04-14 18:40,32.77,2343912425577
South Karenland,2019-03-26 6:12,35.5,2343912425577
New Jacobville,2019-02-18 21:09,39.97,2343912425577
Roberthaven,2019-03-14 16:12,36.84,2343912425577
Lake Scottton,2019-04-24 11:54,5.31,2343912425577
Amandaburgh,2019-01-11 2:22,29.24,2343912425577
Reynoldsfurt,2019-05-05 17:38,14.95,2343912425577
West Patrickchester,2019-02-09 5:54,16.1,2343912425577
Christopherfurt,2019-04-13 8:29,37.22,2343912425577
South Evanton,2019-04-27 0:58,27.78,2343912425577
Lake Scottton,2019-02-07 5:08,10.76,2343912425577
Roberthaven,2019-03-14 15:24,35.27,2343912425577
Rodneyfort,2019-03-04 15:13,28.69,2343912425577
West Josephberg,2019-02-17 6:28,41.49,2343912425577
Lake Jonathanshire,2019-03-21 0:18,37.95,2343912425577
Simpsonburgh,2019-02-05 16:02,25.58,2343912425577
West Heidi,2019-03-19 3:15,5.65,2343912425577
North Barbara,2019-03-23 20:59,23.76,2343912425577
North Jasmine,2019-03-11 21:03,37.93,2343912425577
West Gabriel,2019-04-29 1:22,36.7,2343912425577
Liumouth,2019-04-14 6:43,31.63,2343912425577
Carriemouth,2019-03-02 15:40,28.04,2343912425577
West Robert,2019-03-24 15:21,34.9,2343912425577
North Jasmine,2019-05-02 10:24,29.86,2343912425577
Carriemouth,2019-03-21 15:40,44.64,2343912425577
Lake Scottton,2019-02-15 6:49,22.75,2343912425577
North Madeline,2019-04-12 13:57,7.77,2343912425577
Lake Danielberg,2019-01-07 9:41,17.39,2343912425577
North Madeline,2019-04-30 16:02,37.48,2343912425577
Port David,2019-01-07 20:03,20.49,2343912425577
Royland,2019-02-11 3:46,30.41,2343912425577
West Samuelburgh,2019-02-20 1:05,19.65,2343912425577
West Angela,2019-03-18 12:08,34.05,2343912425577
West Patrickchester,2019-03-06 4:19,32.37,2343912425577
Port Frank,2019-02-05 10:34,20.1,2343912425577
New Kimberlyborough,2019-02-09 5:48,39.55,2343912425577
Justinberg,2019-04-20 7:37,29.07,2343912425577
West Angela,2019-04-18 12:07,16.18,2343912425577
Justinberg,2019-03-10 9:19,37.89,2343912425577
Valentineton,2019-01-10 17:29,19.91,2343912425577
Williamsview,2019-04-07 0:32,18.92,2343912425577
South Jack,2019-01-31 2:51,21.75,2343912425577
Port Frank,2019-02-18 18:49,39.06,2343912425577
Leahton,2019-02-13 11:40,16.79,2343912425577
South Michelleport,2019-02-22 7:44,22.52,2343912425577
South Karenland,2019-04-25 14:44,24.86,2343912425577
Richardfort,2019-02-16 13:52,17.92,2343912425577
Williamsstad,2019-04-16 23:07,23.12,2343912425577
South Michelleport,2019-02-12 7:41,27.7,2343912425577
West Patrickchester,2019-04-13 19:49,33.33,2343912425577
Martinezhaven,2019-04-18 18:37,5.81,2343912425577
North Jason,2019-01-23 22:51,21.95,2343912425577
North Jason,2019-04-18 12:19,22.42,2343912425577
Lake Scottton,2019-05-03 22:33,9.01,2343912425577
West Christopherberg,2019-03-01 21:33,11.97,2343912425577
North Markport,2019-04-10 22:15,38.02,2343912425577
Christopherfurt,2019-04-09 0:32,29.96,2343912425577
North Madeline,2019-01-29 16:12,17.57,2343912425577
Richardfort,2019-02-01 20:18,10.26,2343912425577
South Phillip,2019-01-25 5:04,38.15,2343912425577
East Kaylahaven,2019-02-11 0:24,43.19,2343912425577
Rodneyfort,2019-04-11 2:57,36.3,2343912425577
Pattyland,2019-04-26 8:31,19.99,2343912425577
South Karenland,2019-03-24 23:37,41.44,2343912425577
Port David,2019-03-24 21:58,28.84,2343912425577
Rodneyfort,2019-03-10 5:23,29.13,2343912425577
New Paulton,2019-02-02 16:37,17.19,2343912425577
Williamsstad,2019-03-12 1:39,18.67,2343912425577
South Michelleport,2019-01-29 20:40,9.79,2343912425577
West Christopherberg,2019-03-21 2:57,21.41,2343912425577
Lake Scottton,2019-03-25 21:46,36.92,2343912425577
Port Angela,2019-03-19 12:32,17.21,2343912425577
Christopherfurt,2019-04-17 22:12,32.39,2343912425577
Joneschester,2019-02-27 8:19,33.34,2343912425577
Loganberg,2019-01-25 1:59,26.03,2343912425577
South Phillip,2019-02-19 13:19,33.07,2343912425577
Deanville,2019-01-23 13:00,42.45,2343912425577
New Kimberlyborough,2019-01-30 21:46,29.09,2343912425577
Port Johnbury,2019-04-11 10:26,9.1,2343912425577
West Patrickchester,2019-04-19 3:26,44.5,2343912425577
West Robert,2019-01-11 11:10,5.16,2343912425577
New Paulton,2019-03-28 3:35,14.94,2343912425577
South Latoya,2019-03-19 16:19,31.72,2343912425577
Robertport,2019-02-18 15:01,43.47,2343912425577
Valentineton,2019-01-19 19:40,6.71,2343912425577
South Latoya,2019-01-18 20:09,10.98,2343912425577
Simpsonburgh,2019-01-12 4:35,24.83,2343912425577
West Patrickchester,2019-02-12 16:33,22.64,2343912425577
Richardfort,2019-04-17 2:26,23,2343912425577
Hurleymouth,2019-02-20 10:47,17.07,2343912425577
Leahton,2019-01-27 8:09,29.36,2343912425577
West Anthony,2019-04-29 1:12,27.04,2343912425577
New Kimberlyborough,2019-01-05 9:33,39.47,2343912425577
South Latoya,2019-03-19 22:03,40.29,2343912425577
Williamsstad,2019-04-12 12:30,17.57,2343912425577
South Karenland,2019-02-01 19:45,31.64,2343912425577
North Jason,2019-04-16 15:23,24.07,2343912425577
West Angela,2019-01-27 9:35,9.24,2343912425577
Lake Danielberg,2019-02-08 5:58,10.31,2343912425577
Port Samanthamouth,2019-04-06 13:42,24.18,2343912425577
New Jacobville,2019-02-09 2:25,37.51,2343912425577
New Kimberlyborough,2019-03-10 13:55,10.83,2343912425577
New Kimberlyborough,2019-01-08 18:59,13.34,2343912425577
Karenberg,2019-03-05 1:38,44.1,2343912425577
South Phillip,2019-04-11 10:09,21.06,2343912425577
Loganberg,2019-01-20 1:34,38.66,2343912425577
Carriemouth,2019-05-01 4:53,10.97,2343912425577
West Patrickchester,2019-01-21 14:48,19.44,2343912425577
Martinezhaven,2019-02-07 21:45,4.31,2343912425577
Karenside,2019-01-08 8:49,22.64,2343912425577
North Jason,2019-03-24 7:40,32.72,2343912425577
Lake Danielberg,2019-03-28 9:56,28.53,2343912425577
Pattyland,2019-04-03 3:29,14.06,2343912425577
Pattyland,2019-02-21 17:53,7.06,2343912425577
Loganberg,2019-01-11 4:27,44.34,2343912425577
Leahton,2019-02-28 13:10,9.08,2343912425577
Reynoldsfurt,2019-01-17 21:35,24.84,2343912425577
Raymondhaven,2019-02-22 23:54,7.64,2343912425577
South Latoya,2019-02-12 22:59,5.54,2343912425577
Lake Scottton,2019-01-18 2:32,31.92,2343912425577
Port David,2019-02-24 22:20,35.63,2343912425577
Roberthaven,2019-04-05 14:01,31.09,2343912425577
Rogerston,2019-03-24 2:56,39.6,2343912425577
Karenberg,2019-04-27 14:57,44.73,2343912425577
Martinezhaven,2019-04-14 16:26,32.57,2343912425577
South Evanton,2019-01-20 23:10,25.94,2343912425577
North Jasmine,2019-04-26 12:08,35.33,2343912425577
Hurleymouth,2019-01-12 1:19,10.64,2343912425577
West Robert,2019-03-07 15:57,12.22,2343912425577
Deanville,2019-04-21 23:32,33.37,2343912425577
South Michelleport,2019-01-09 1:48,10.68,2343912425577
Royland,2019-02-02 12:51,42.52,2343912425577
Rodneyfort,2019-04-10 23:38,25.4,2343912425577
North Madeline,2019-01-12 9:42,20.82,2343912425577
Lake Danielberg,2019-04-28 4:00,39.82,2343912425577
Port Johnbury,2019-05-02 12:46,42.42,2343912425577
Richardfort,2019-04-21 3:44,9.54,2343912425577
Liumouth,2019-03-22 4:06,33.1,2343912425577
Roberthaven,2019-01-21 19:25,23.14,2343912425577
Amandaburgh,2019-01-21 4:12,9.26,2343912425577
South Evanton,2019-04-25 0:37,26.84,2343912425577
Port Samanthamouth,2019-03-25 13:20,34.94,2343912425577
South Michelleport,2019-03-13 4:21,10.44,2343912425577
North Madeline,2019-01-14 3:43,31.88,2343912425577
Hurleymouth,2019-03-17 6:50,29.95,2343912425577
Port David,2019-04-10 14:27,26.68,2343912425577
Pattyland,2019-02-10 2:55,24.39,2343912425577
Liumouth,2019-03-17 19:21,19.05,2343912425577
Robertport,2019-04-03 1:20,15.14,2343912425577
Hurleymouth,2019-04-01 6:26,9.94,2343912425577
West Samuelburgh,2019-04-17 11:25,15.03,2343912425577
South Phillip,2019-03-18 4:11,17.57,2343912425577
West Josephberg,2019-01-29 2:13,7.58,2343912425577
Roberthaven,2019-02-16 10:23,14.95,2343912425577
West Christopherberg,2019-03-27 23:57,21.55,2343912425577
Christopherfurt,2019-03-30 13:15,31.3,2343912425577
Hurleymouth,2019-02-01 3:23,22.39,2343912425577
Port Frank,2019-03-16 20:54,30.24,2343912425577
Lake Danielberg,2019-01-16 11:59,20.07,2343912425577
West Ericstad,2019-03-28 13:29,22.28,2343912425577
Karenside,2019-03-11 16:18,44.29,2343912425577
South Evanton,2019-03-17 0:31,36.31,2343912425577
West Heidi,2019-05-05 15:47,37.75,2343912425577
Robertport,2019-02-28 22:50,13.39,2343912425577
South Jack,2019-01-05 11:31,13.14,2343912425577
West Josephberg,2019-02-28 18:19,11.1,2343912425577
Port Frank,2019-03-26 19:09,28.83,2343912425577
Barajasview,2019-02-19 2:25,26.83,2343912425577
Justinberg,2019-01-03 22:50,5.81,2343912425577
North Barbara,2019-04-17 2:49,39.18,2343912425577
West Angela,2019-03-08 13:24,4.92,2343912425577
South Latoya,2019-03-19 7:54,30.03,2343912425577
Hurleymouth,2019-01-18 10:59,4.66,2343912425577
Johnton,2019-04-05 7:12,22.87,2343912425577
Carriemouth,2019-03-27 2:11,38.69,2343912425577
Reynoldsfurt,2019-04-19 0:56,13.63,2343912425577
Christopherfurt,2019-03-16 19:46,19.61,2343912425577
Liumouth,2019-04-28 0:26,5.42,2343912425577
New Kimberlyborough,2019-03-19 7:17,15.78,2343912425577
Martinezhaven,2019-03-07 12:26,23.55,2343912425577
East Kaylahaven,2019-04-06 16:17,35.79,2343912425577
Simpsonburgh,2019-04-26 9:31,33.71,2343912425577
Lake Jonathanshire,2019-01-28 0:07,5.67,2343912425577
Robertport,2019-04-19 19:45,39.57,2343912425577
South Karenland,2019-03-20 10:34,33.24,2343912425577
Raymondhaven,2019-03-07 20:59,17.66,2343912425577
Port David,2019-02-18 14:47,20.16,2343912425577
Royland,2019-02-20 19:14,38.28,2343912425577
